Gamma,n,T,average,sd,min,max,length_scale,lambda
100,2,50,0.06899165781762426,0.053251340566107454,0.0048593653449723224,0.2507334903463777,10,0.0001
250,5,50,0.06373436188912643,0.07224769829068815,0.0019221888258947927,0.3425456771856894,10,0.0001
500,10,50,0.03419703243971984,0.03993826331853961,0.0009050683494100947,0.1906630051747616,10,0.0001
1000,20,50,0.025274002099493362,0.031570674104837756,0.0006745460674319331,0.15908527268000153,10,0.0001
1500,30,50,0.023940626862929703,0.02980874722165832,0.0004761530886941388,0.15398241191539758,10,0.0001
2000,40,50,0.0216756339200776,0.02838790517631708,0.00033122962158676285,0.14407045946488167,10,0.0001
2500,50,50,0.022042596992820615,0.027889035895906633,0.0002883172484640501,0.13932692091671298,10,0.0001
3000,60,50,0.021463812774438287,0.026876908198488012,0.0002885488708634031,0.13443923776840916,10,0.0001
3500,70,50,0.021518924166765617,0.02714410185083487,0.00025498729305265243,0.13398844317460348,10,0.0001
4000,80,50,0.020666382165065698,0.026155799737101037,0.00026174673866611697,0.13074256796280215,10,0.0001
