Gamma,n,T,average,sd,min,max,k
100,1,150,8.808890438712226,0.8629446097598028,6.741356283262259,9.933177069296006,1
250,2,150,1.6174745056548046,2.241406703217349,0.0011617986992609013,9.116506215825291,1
500,4,150,1.6090935300775522,2.245782177962463,0.0011974422282855564,9.123045753299463,1
1000,7,150,0.4819770745563547,0.49549960155413275,0.0004668902134398078,2.301068200848411,2
1500,10,150,0.25069327418586995,0.3242882818781829,0.0004638086317192266,1.665571133632292,2
2000,14,150,0.205100948203513,0.2511684936275245,0.0003119966208966257,1.2982846504007537,3
2500,17,150,0.20991864092956075,0.24860867603000245,0.0003105752458201559,1.2745196189711947,3
3000,20,150,0.16762575100749028,0.24400471564727103,0.0002730004702294811,1.265992361831372,3
3500,24,150,0.1540222339418128,0.24669800158348867,0.00024957833362370063,1.2722355391190259,3
4000,27,150,0.12918444563137307,0.232395890017186,0.0002767360268283472,1.431706933230036,3
