Gamma,n,T,average,sd,min,max,k
100,1,100,8.74611056973082,0.8790982236379759,6.545562285892401,9.902288115140765,1
250,3,100,0.9661108598170282,0.9488278968079524,0.0014734609114212289,3.766057383092019,2
500,5,100,0.7477247478857647,0.8021235948590365,0.0007708028866268429,3.2487076806562043,2
1000,10,100,0.256724065256317,0.32831201021408085,0.0006594199881265575,1.6800486821710496,2
1500,15,100,0.1969128568464023,0.31272409533190165,0.0007039360120381055,2.256680565702333,2
2000,20,100,0.2211428803624341,0.3926092825073975,0.0005882309963362989,2.2516921002858727,2
2500,25,100,0.17567068824860546,0.2643222551851687,0.00047216422127705003,1.3781666684226546,2
3000,30,100,0.13777677205698433,0.24772442565020059,0.00039595047074587116,1.3601552373822643,2
3500,35,100,0.09867210074225854,0.14785623330684214,0.00035938700016783837,0.8023253246111898,2
4000,40,100,0.09028527390917424,0.13118888680747795,0.00039346584456680306,0.758677059733406,2
