Gamma,n,T,average,sd,min,max,length_scale,lambda
3000,30,100,0.011561283995625898,0.011402611444664437,0.00019960325195527703,0.05262460894347811,60,0.0001
6000,60,100,0.009085297088716788,0.008291767177648629,0.00012066814774499417,0.03727739314726048,60,0.0001
9000,90,100,0.00826956686326481,0.007414713453728062,8.177687882821666e-05,0.03194648167580101,60,0.0001
12000,120,100,0.007872422975094225,0.006903599072776104,8.383648946889925e-05,0.02926389943281565,60,0.0001
15000,150,100,0.008091313710111549,0.00709897791384821,8.078059077294772e-05,0.029800968700912898,60,0.0001
18000,180,100,0.008035574752916035,0.007081287267617356,6.0803929702457056e-05,0.030059736157893355,60,0.0001
21000,210,100,0.008029304174687016,0.007110961154025449,5.91621871858566e-05,0.029498950749478017,60,0.0001
24000,240,100,0.007926328510050014,0.00700915583529227,5.0588842377145195e-05,0.029126419607751405,60,0.0001
27000,270,100,0.007727475546099958,0.006792773833117363,5.328390027023868e-05,0.028248407625455392,60,0.0001
30000,300,100,0.007619454544078169,0.006617132823750248,5.1418164009908276e-05,0.027543105541239846,60,0.0001
