Gamma,n,T,Mean,length_scale,lambda
12000,40,300,0.0010562785912031534,60,0.0001
15000,41,365,0.000766285017671471,60,0.0001
18000,41,439,0.0005691422024179059,60,0.0001
21000,41,512,0.00043329139456553024,60,0.0001
24000,42,571,0.00033639742391437,60,0.0001
27000,42,642,0.0003003154143556352,60,0.0001
30000,42,714,0.00026971039012637103,60,0.0001
33000,42,785,0.00025154315041773,60,0.0001
36000,42,857,0.0002483703212438097,60,0.0001
39000,43,906,0.0002084303667139845,60,0.0001
