Gamma,n,T,mean,h
12000,342,35,1.6811726242258784,2.5
15000,428,35,1.2663169305643702,2.5
18000,514,35,0.5510675362825056,2.3
21000,600,35,0.5947497333492152,2.3
24000,600,40,0.5004222196615821,2.3
27000,675,40,0.42233728318421343,2.0
30000,750,40,0.29867235135521997,2.0
33000,733,45,0.22440530547514076,2.0
36000,800,45,0.22639626946820013,2.0
39000,780,50,0.2027253209965904,2.0
