Gamma,n,T,mean,k
12000,342,35,1.8358392777654913,6
15000,428,35,0.7340156030990501,6
18000,514,35,0.5089071691054505,6
21000,600,35,0.49261561715359325,7
24000,600,40,0.40500318666071033,7
27000,675,40,0.5537315945167405,7
30000,750,40,0.5718211156789107,7
33000,733,45,0.48058756266313046,7
36000,800,45,0.3871088259468244,8
39000,780,50,0.3495322199387968,8
