Gamma,n,T,average,sd,min,max,k
100,10,10,0.8028521964971743,0.6610960444083688,0.008168143948582363,2.665457560068382,2
250,10,25,0.36795285386991067,0.3892803054724939,0.0027425288604865663,1.8771781289079543,2
500,25,20,0.3043623048253932,0.3558102589060546,0.002673201264989402,1.533652140426714,2
1000,40,25,0.17821860984617305,0.18824926097437278,0.002337275412210232,0.9025609969936513,2
1500,50,30,0.10820256615817651,0.13176299754166892,0.0010936409622542937,0.631211773911422,3
2000,50,40,0.0795371426711566,0.10091962094402256,0.0007454238027287343,0.48110735197764115,3
2500,50,50,0.06616796299502577,0.08588702188248815,0.0005573612940507115,0.40871593717530397,3
3000,50,60,0.058421345609720385,0.07707844063104162,0.0004267316276060271,0.37175127520398776,3
3500,50,70,0.05374111005616291,0.0717148627631572,0.00040156091472024564,0.35297291783159984,3
4000,50,80,0.05068213579480948,0.068107722166376,0.0003510245291014828,0.3400754876407291,3
