Gamma,n,T,mean,k
12000,342,35,1.8403533591283114,6
15000,428,35,0.7368405486011633,6
18000,514,35,0.5169351303972163,6
21000,600,35,0.49527531599384994,7
24000,600,40,0.40923311717648087,7
27000,675,40,0.5420669186414623,7
30000,750,40,0.5397668629098714,7
33000,733,45,0.4931550837829368,7
36000,800,45,0.38394384021135675,8
39000,780,50,0.34842440729645563,8
