Gamma,n,T,average,sd,min,max
1000,10,100,0.023230550513176556,0.03450217411187196,0.0003831656324091864,0.1971885609680133
1500,15,100,0.01798424693333007,0.02805734390247487,0.00026960596843581,0.1607008327517655
2000,20,100,0.015390659972098278,0.03130393365489999,0.00022783740496874844,0.18584812207305862
2500,25,100,0.014927939735794165,0.0318993118797892,0.00021034341448949255,0.19315084175522998
3000,30,100,0.014222005199150874,0.03135145313605736,0.00019119415704274274,0.1939173450585651
3500,35,100,0.014495559478909245,0.034174050286850395,0.00015471582160659386,0.21172362986760995
4000,40,100,0.014150013317753214,0.03546709024325737,0.00014058728647977495,0.21871531551064494
