Gamma,n,T,average,sd,min,max,k
3000,100,30,0.7158950079230008,0.8265196416321945,0.000826475328785377,4.652826907605464,2.8
6000,200,30,0.5993934739435898,0.6254664916371498,0.0008158826276348667,2.292339695219281,2.8
9000,300,30,0.5696060751464626,0.5970688060726602,0.00025926274330247064,2.3455805842677577,2.8
12000,342,35,0.47502896812555884,0.4851871408351094,0.0003866915187669474,1.9150213243311993,2.5
15000,428,35,0.42824659737684617,0.43005946942354106,0.0007195371831985465,1.8586057998454288,2.5
18000,514,35,0.39117011753528147,0.42218336265666084,0.00033291254896437736,1.733954484812993,2.3
21000,600,35,0.3415848457828272,0.4266079464662531,0.0007847351420175821,2.1912884321862816,2.0
24000,600,40,0.3106830974653303,0.3918671265588863,0.0004969055919532612,2.074684800838102,2.0
27000,675,40,0.26828164538663407,0.3464771801013071,0.00048606092932496065,2.079799752275504,2.0
30000,750,40,0.2560028930431853,0.33620650175325595,0.0004097544996839598,2.0640429112214536,2.0
