Gamma,n,T,average,sd,min,max,k
100,2,50,1.595294794579222,2.108938814848287,0.003853113933124632,8.761961637173545,1
250,5,50,0.7786658701355644,0.8279445834281204,0.0013591721355762493,3.352421324913998,2
500,10,50,0.2839697894869577,0.3446621900126591,0.0011780949717705364,1.728576888677742,2
1000,20,50,0.24431987980824793,0.4083307699074257,0.0010979689204302693,2.2795815764009357,2
1500,30,50,0.1429509388343997,0.2391905483474447,0.0007772948122613261,1.487649121758612,3
2000,40,50,0.13997444612734772,0.204907704462987,0.0006319485546462172,1.061872373500846,3
2500,50,50,0.06616796299502577,0.08588702188248815,0.0005573612940507115,0.40871593717530397,3
3000,60,50,0.05373613346653433,0.06393407098198614,0.0006172224649482472,0.34054202943932843,3
3500,70,50,0.06562664110831067,0.10684604080932152,0.0004406748448007,0.8435825327848536,4
4000,80,50,0.08484871928780051,0.1428749462299791,0.00043479516710229503,0.9851021412444496,5
