Gamma,n,T,mean,h
12000,342,35,1.6816605818767696,2.5
15000,428,35,1.266205361490361,2.5
18000,514,35,0.5659347062680835,2.3
21000,600,35,0.594102452924809,2.3
24000,600,40,0.5006362649003249,2.3
27000,675,40,0.42306558180988924,2.0
30000,750,40,0.2630396860526938,2.0
33000,733,45,0.22806257275652808,2.0
36000,800,45,0.22370551538493721,2.0
39000,780,50,0.20669871929935912,2.0
