Gamma,n,T,average,sd,min,max,length_scale,lambda
3000,40,75,0.018904473148269,0.016486625208463185,0.0003198648170968262,0.07127727658249493,60,0.0001
6000,40,150,0.004405737147892911,0.0047590871797206094,6.827487382905593e-05,0.02324358493443099,60,0.0001
9000,40,225,0.002404809372954656,0.002925540730812849,3.5780747711019666e-05,0.015924594026862134,60,0.0001
12000,40,300,0.001723241129493994,0.0022912092039360102,2.6556425356339365e-05,0.013261692052322645,60,0.0001
15000,41,365,0.0014778105925519697,0.0020030017588567217,1.9651909186074282e-05,0.011681631653556962,60,0.0001
18000,41,439,0.0012826401015605653,0.0017832283612346778,1.6186526939239405e-05,0.010630531104609877,60,0.0001
21000,41,512,0.0011615174913108001,0.001637174180400357,1.2654664332960335e-05,0.009916353097316494,60,0.0001
24000,42,571,0.0010085418328421535,0.001540431877331192,1.0851861895678876e-05,0.009952899749863926,60,0.0001
27000,42,642,0.0009443560118618121,0.0014608170337308951,9.94252957635267e-06,0.009426531401123657,60,0.0001
30000,42,714,0.0008952371216240279,0.0013941258128901837,8.806864703848248e-06,0.008883544611884736,60,0.0001
