Gamma,n,T,average,sd,min,max
500,10,50,0.055885502626198374,0.07067477438327123,0.0009940988470458687,0.3639914182816326
1000,20,50,0.038286269966086584,0.05860678233073637,0.0007137622104930412,0.34603026073120546
1500,30,50,0.03558388195676257,0.05448124695419639,0.000532657323647175,0.33241623791426583
2000,40,50,0.03439541593358829,0.06059162375779339,0.00046276162074349785,0.3748026050655293
2500,50,50,0.035306244681246664,0.05530828394495748,0.00038932264184775826,0.33189558890990845
3000,60,50,0.036375896250661496,0.060072319808582714,0.0004034275304166304,0.3707723011360404
3500,70,50,0.03656651311588403,0.06042921542628514,0.00033996291554989335,0.3632534967013409
4000,80,50,0.035322772338680995,0.0582061608719364,0.0003567852658262678,0.3513227519344964
