Gamma,n,T,mean,k
30000,300,100,0.39885056494915355,10
35000,350,100,0.9193035863680157,10
40000,400,100,0.6020088067283129,10
45000,450,100,0.7052115530800053,10
50000,500,100,0.1418128933430358,10
55000,550,100,0.15392145991470602,11
60000,600,100,0.14250433798648512,11
65000,650,100,0.14006386642450375,11
70000,700,100,0.14150890821555004,11
75000,750,100,0.3469717681492196,11
