Gamma,n,T,mean,h
30000,300,100,1.159122722146125,7.75
35000,350,100,1.1993352389016525,7.7
40000,400,100,0.9221910602541893,7.65
45000,450,100,0.8094326285097878,7.6
50000,500,100,0.7614695031889551,7.55
55000,550,100,0.564537743377478,7.5
60000,600,100,0.3442622141259568,7.45
65000,650,100,0.27061722129279864,7.4
70000,700,100,0.1415089082166512,7.35
75000,750,100,0.4543489974488915,7.3
