Gamma,n,T,mean
30000,200,150,0.010768819244156697
35000,200,175,0.009170831752976312
40000,200,200,0.008511446989118043
45000,200,225,0.007695748842456579
50000,200,250,0.006629651957660901
55000,200,275,0.0061866487629424465
60000,200,300,0.005365425280718534
65000,200,325,0.004709799064862368
70000,200,350,0.004691574009525496
75000,200,375,0.004347762853898957
