Gamma,n,T,average,sd,min,max,length_scale,lambda
100,1,150,8.857205957564922,0.8704685851744276,6.753249418996727,10.012145433674418,10,0.0001
250,2,150,0.029941912956012867,0.027509546602735413,0.0011686435408776424,0.1312327261787684,10,0.0001
500,4,150,0.01870839198513561,0.022260383933277974,0.0004054917964009996,0.10788572413385188,10,0.0001
1000,7,150,0.009619909321238525,0.0127062487476262,0.00026440654527957726,0.0637494906336776,10,0.0001
1500,10,150,0.007214868099607636,0.0093363522281122,0.00018799135626520563,0.04870525885106771,10,0.0001
2000,14,150,0.006253350550059148,0.008608055137240464,0.00014463420425681408,0.045119598538238576,10,0.0001
2500,17,150,0.004374138383794935,0.006824675871050707,0.00010417332421301694,0.038647608486564435,10,0.0001
3000,20,150,0.004225440254274804,0.006449798250774726,0.00011245327455283202,0.03668998235441093,10,0.0001
3500,24,150,0.0042505976865310985,0.007055932111244218,8.920101693140857e-05,0.041314309208083044,10,0.0001
4000,27,150,0.0037447950746155867,0.006392809451848324,9.167341903797365e-05,0.03762543407516798,10,0.0001
