Gamma,n,T,average,sd,min,max,k
100,1,150,9.3443464178066,1.0111608690782155,6.741356283265875,10.694731384424074,2
250,2,150,0.9439712686426073,0.9553712365348085,0.0011551441239857484,3.748287298569272,2
500,4,150,0.9622949845004029,1.3527440674282694,0.0006778710445279869,6.324497051120881,2
1000,7,150,0.8228928064684699,1.5104549261081979,0.0005068418465903472,7.572575445847415,1
1500,10,150,0.28930196413030695,0.33519214714869766,0.0005090742180970158,1.656587445069062,0.9
2000,14,150,0.23114258481653122,0.2868393030466804,0.00023911022727657043,1.298284650398749,0.9
2500,17,150,0.185546821284422,0.2733781834202718,0.0002480184208724881,1.3344544403991736,0.8
3000,20,150,0.16057176585346591,0.25102328308378485,0.0002154452677462677,1.3354516510571697,0.8
3500,24,150,0.13425596813348548,0.2611164982455966,0.00021134600371043008,1.980381488089986,0.7
4000,27,150,0.09597802974343779,0.16537239327581305,0.00019350406931280002,1.1663794519259538,0.7
