Gamma,n,T,average,sd,min,max
1000,7,150,0.021830889246921562,0.03374211549680773,0.0002608957720726608,0.19447442063918302
1500,10,150,0.01558163215738684,0.025032509109982316,0.00021090125681191482,0.1457886516653846
2000,14,150,0.013960129420153598,0.022186962508653638,0.0001735162961841613,0.12362781062333279
2500,17,150,0.010796372153118447,0.026152335688721644,0.0001259665546020576,0.15748589601077287
3000,20,150,0.010058220671013111,0.023065345158099576,0.00011627474459140879,0.13691469907087048
3500,24,150,0.011228610571292614,0.028157872042131292,0.00012081145967251841,0.16859569952503942
4000,27,150,0.009289765720144179,0.023133102183014436,0.00010274149711124813,0.1392897989767193
