Gamma,n,T,average,sd,min,max
3000,60,50,0.05346018905063307,0.04328765798497881,0.0008243407961266013,0.198716106069199
6000,60,100,0.011215781710896176,0.01176685838765142,0.00018758104316844682,0.05831099432577275
9000,60,150,0.005200770827804826,0.006122549532406797,8.574254511483288e-05,0.03162543280129311
12000,60,200,0.0032893450759950865,0.004125412132719482,6.018330416295793e-05,0.02259859590293849
15000,60,250,0.002431627110404698,0.003149886495920365,4.202469898770274e-05,0.01780195053419047
18000,60,300,0.001936268810722005,0.0025285391935265774,3.483077409917106e-05,0.0142375480723855
21000,60,350,0.001621170993291257,0.002144048259719206,2.6910808653737442e-05,0.012077642306966145
24000,60,400,0.0014211367703018624,0.0018753020707076775,2.2945840113248348e-05,0.010566400757012507
27000,60,450,0.0012613609277458983,0.0016707016416951349,2.0756474034212426e-05,0.009560738785152097
30000,60,500,0.0011497801654406486,0.0015168547877322997,1.6497704757355432e-05,0.008756248056819987
