Gamma,n,T,Mean,length_scale,lambda
12000,40,300,0.001115057842572567,60,0.0001
15000,41,365,0.000728108595824661,60,0.0001
18000,41,439,0.0004914675036836397,60,0.0001
21000,41,512,0.0003690273106181833,60,0.0001
24000,42,571,0.0003847316725777087,60,0.0001
27000,42,642,0.00031075352739465717,60,0.0001
30000,42,714,0.00026783359534496314,60,0.0001
33000,42,785,0.0002483372643285297,60,0.0001
36000,42,857,0.00022924321981900852,60,0.0001
39000,43,906,0.0002279533011918394,60,0.0001
