Gamma,n,T,mean
12000,60,200,0.002546656978591652
15000,60,250,0.0017119405602700555
18000,60,300,0.0011656002574036914
21000,60,350,0.0009153019706193851
24000,60,400,0.000766007426816935
27000,60,450,0.0007011126293108143
30000,60,500,0.0006594867045914314
33000,60,550,0.000679929529218848
36000,60,600,0.0006624978186285045
39000,60,650,0.0006056285507155224
