Gamma,n,T,average,sd,min,max,k
3000,60,50,0.8101156177105812,0.8407500728388015,0.0002842489117342226,3.2345750099374406,3.5
6000,120,50,0.7302636003578611,0.7547252345770752,0.00013242317964233923,2.9871749777770304,3.5
9000,180,50,0.45372921851531856,0.4786839915087171,0.00027429695878554086,2.111865613487791,2.8
12000,240,50,0.4477998181748072,0.48497585452939257,0.0003376086558958097,2.1759882157619796,2.8
15000,300,50,0.4249533777632864,0.4683546306022434,0.00015762102654001765,2.1136917954085064,2.8
18000,360,50,0.3720994899248785,0.4031457264261483,0.0003767950981735898,1.8438312047631278,2.5
21000,420,50,0.3537933836221815,0.38291456755678427,0.00017726087350879171,1.9600224636743446,2.5
24000,480,50,0.3123394210359882,0.3515302012012052,0.0002687214439090731,1.4939542202678209,2.3
27000,540,50,0.3092718035973238,0.3557480376661023,0.0003293799073071763,1.622477413459719,2.3
30000,600,50,0.27589904209914984,0.3486573573135165,0.0005148707209567477,1.9006702926201025,2.0
