Gamma,n,T,mean
12000,60,200,0.001976294206358446
15000,60,250,0.0012938051330228543
18000,60,300,0.0009786691537652303
21000,60,350,0.0007292738637514496
24000,60,400,0.0005970433170674833
27000,60,450,0.0005928069633232089
30000,60,500,0.0005553359868245716
33000,60,550,0.0005793974466042753
36000,60,600,0.0005515694184292842
39000,60,650,0.0005506361580517918
